row_id,split
1,test
2,train
3,test
4,train
5,train
6,train
7,train
8,train
9,test
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,test
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,test
46,test
47,test
48,train
49,train
50,train
51,test
52,test
53,train
54,test
55,train
56,test
57,train
58,train
59,test
60,train
61,train
62,test
63,train
64,train
65,test
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,test
79,train
80,train
81,test
82,train
83,train
84,test
85,train
86,train
87,test
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,test
98,train
99,train
100,train
101,test
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,test
117,train
118,train
119,test
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,test
133,test
134,train
135,train
136,train
137,train
138,train
139,test
140,train
141,test
142,train
143,train
144,test
145,train
146,train
147,test
148,test
149,train
150,train
151,test
152,train
153,train
154,train
155,test
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,test
166,train
167,train
168,train
169,train
170,train
171,train
172,test
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,test
181,test
182,train
183,train
184,test
185,test
186,test
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,test
195,train
196,train
197,test
198,train
199,train
200,train
201,train
202,test
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,test
212,train
213,train
214,train
215,train
216,test
217,train
218,train
219,train
220,test
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,test
232,train
233,test
234,train
235,test
236,train
237,train
238,train
239,test
240,test
241,train
242,test
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,train
272,test
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,test
283,test
284,train
285,train
286,train
287,train
288,train
289,train
290,test
291,train
292,train
293,train
294,train
295,test
296,train
297,train
298,train
299,test
300,test
301,train
302,train
303,test
304,train
305,test
306,test
307,test
308,train
309,train
310,train
311,train
312,train
313,test
314,train
315,train
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,test
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,test
336,test
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,test
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,test
355,train
356,train
357,test
358,test
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,test
369,train
370,train
371,test
372,train
373,train
374,test
375,train
376,test
377,train
378,train
379,test
380,train
381,train
382,test
383,train
384,train
385,train
386,train
387,train
388,train
389,train
390,train
391,test
392,test
393,train
394,test
395,train
